	Neighborhood	Neighborhood Latitude	Neighborhood Longitude	Venue	Venue Latitude	Venue Longitude	Venue Category
166	Kuzminki District_OPS_117	55.711558	37.755294	Футбольная Площадка	55.71361021924596	37.748853673353416	Soccer Field
167	Tekstilshchiki District_OPS_125	55.712106999999996	37.744124	Группа РЛД	55.71019463522443	37.74344561686966	Auto Workshop
168	Tekstilshchiki District_OPS_125	55.712106999999996	37.744124	Торшер	55.713566260797194	37.75076952484023	Café
169	Tekstilshchiki District_OPS_125	55.712106999999996	37.744124	Da Pino	55.70963524161116	37.74432019606785	Italian Restaurant
170	Tekstilshchiki District_OPS_125	55.712106999999996	37.744124	Сауна	55.71190702052328	37.74411399335891	Bar
171	Tekstilshchiki District_OPS_125	55.712106999999996	37.744124	BILLA	55.70976606187554	37.744437757702286	Supermarket
172	Tekstilshchiki District_OPS_125	55.712106999999996	37.744124	Выгул собак	55.710975188397164	37.75125503540039	Dog Run
173	Tekstilshchiki District_OPS_125	55.712106999999996	37.744124	Лисичка	55.70962566774445	37.74442658384979	Dry Cleaner
174	Tekstilshchiki District_OPS_125	55.712106999999996	37.744124	"Аптека ""точка здоровья"""	55.71284887049291	37.75153398513794	Pharmacy
175	Tekstilshchiki District_OPS_129	55.704555000000006	37.743256	Winner	55.70400796031423	37.74056863293414	Gym / Fitness Center
176	Tekstilshchiki District_OPS_129	55.704555000000006	37.743256	Спарта	55.70274077279845	37.74531458801903	Gym / Fitness Center
177	Tekstilshchiki District_OPS_129	55.704555000000006	37.743256	ЭШВСМ «Москвич»	55.70796106216449	37.738085368705306	Skating Rink
178	Tekstilshchiki District_OPS_129	55.704555000000006	37.743256	OLDI	55.700630844966334	37.74230654185219	Electronics Store
179	Tekstilshchiki District_OPS_129	55.704555000000006	37.743256	Сквер на Волжском Бульваре	55.702738549494455	37.74973314418029	Park
180	Tekstilshchiki District_OPS_129	55.704555000000006	37.743256	Фитнес Лэнд	55.70665328357992	37.74755593950375	Gym / Fitness Center
181	Tekstilshchiki District_OPS_129	55.704555000000006	37.743256	Пятерочка	55.70277346884333	37.74187019541169	Supermarket
182	Tekstilshchiki District_OPS_129	55.704555000000006	37.743256	Аптека Трика	55.7031697866513	37.74455175809468	Pharmacy
183	Tekstilshchiki District_OPS_129	55.704555000000006	37.743256	Круглый Магазин	55.70407174150696	37.75115815447243	Food & Drink Shop
184	Maryino District_OPS_144	55.646297	37.737567	Miss Fitness	55.64606388856174	37.7376315200105	Gym / Fitness Center
185	Maryino District_OPS_144	55.646297	37.737567	Мясновъ и Отдохни	55.64619543580152	37.73464435200303	Butcher
186	Maryino District_OPS_144	55.646297	37.737567	BILLA	55.64789463564224	37.73651232033885	Supermarket
187	Maryino District_OPS_144	55.646297	37.737567	Музыкальный парк	55.64787014569952	37.735672030337895	Music Store
188	Maryino District_OPS_144	55.646297	37.737567	Сыто Пьяно	55.64782616385326	37.736734198100876	Café
189	Maryino District_OPS_144	55.646297	37.737567	Марьинский рынок	55.647785598025266	37.74219989776611	Market
190	Maryino District_OPS_144	55.646297	37.737567	Центр Дикуля	55.64723486796824	37.740623461154485	Medical Center
191	Maryino District_OPS_144	55.646297	37.737567	Суши Стор	55.64825597273729	37.74177587575105	Sushi Restaurant
192	Maryino District_OPS_144	55.646297	37.737567	Пятерочка	55.6450938501294	37.73463361210806	Supermarket
193	Maryino District_OPS_144	55.646297	37.737567	салон красоты  4 сезона	55.646020121158685	37.73832309500387	Health & Beauty Service
194	Maryino District_OPS_144	55.646297	37.737567	Пятерочка	55.64796631126144	37.73530481112379	Supermarket
195	Maryino District_OPS_144	55.646297	37.737567	Пятерочка	55.645706	37.743423	Supermarket
196	Maryino District_OPS_144	55.646297	37.737567	SPAR	55.64568309423394	37.743758272651476	Big Box Store
197	Maryino District_OPS_144	55.646297	37.737567	FitEnergy	55.647675048380535	37.74284569992387	Gym / Fitness Center
198	Maryino District_OPS_144	55.646297	37.737567	BILLA	55.64337879260952	37.74204804547633	Supermarket
199	Maryino District_OPS_144	55.646297	37.737567	"Остановка ""Аптека"""	55.64650341864398	37.73222923605093	Bus Stop
200	Maryino District_OPS_144	55.646297	37.737567	Аптека ИФК	55.64352331269744	37.74108409881592	Pharmacy
201	Maryino District_OPS_144	55.646297	37.737567	Сударь	55.64755325711346	37.73184627341925	Clothing Store
202	Maryino District_OPS_144	55.646297	37.737567	Спортмастер	55.644982	37.743703	Sporting Goods Shop
203	Maryino District_OPS_144	55.646297	37.737567	Hookah Time	55.64326	37.741696	Hookah Bar
204	Maryino District_OPS_144	55.646297	37.737567	Домашняя Кондитерская	55.64555171979355	37.73020555545476	Dessert Shop
